22	16	15	16	14	8	7	11	89	44	11	6	4	4	7	32	96	35	5	4	13	18	17	44	18	10	7	18	45	33	14	13	29	18	11	13	15	11	10	17	102	64	15	8	7	6	7	24	129	80	7	5	15	12	7	29	24	11	7	32	86	44	11	9	28	15	10	11	16	17	13	23	100	20	7	6	7	10	17	73	130	23	2	5	14	7	8	91	26	6	5	33	93	43	9	12	26	10	6	7	14	19	17	29	93	15	3	2	3	6	18	80	106	20	6	9	15	6	8	71	16	6	7	28	67	27	8	9
8	2	7	102	107	11	6	8	31	13	17	87	80	8	5	18	39	17	13	18	14	10	14	31	18	12	10	13	15	12	12	15	10	4	10	126	130	7	1	3	95	19	11	64	56	6	9	41	49	13	10	17	25	19	20	34	22	14	13	17	19	12	11	18	14	6	8	102	125	18	3	5	109	42	10	23	31	7	5	23	45	27	21	26	25	13	8	13	21	16	13	16	18	11	11	17	14	6	6	49	82	24	9	10	60	23	8	10	17	12	12	28	31	22	15	14	14	9	10	18	17	12	12	14	14	8	9	15
78	48	14	8	5	5	7	29	55	42	26	19	13	11	13	28	35	35	25	17	15	15	14	21	22	18	10	8	12	15	15	17	100	84	22	10	6	4	5	22	52	69	77	66	29	9	4	10	111	81	44	18	7	5	6	26	40	19	9	10	15	15	17	22	81	82	25	11	9	6	5	18	81	49	32	35	28	21	20	38	123	34	9	6	5	6	14	75	43	20	14	17	18	11	10	18	56	38	10	7	11	13	13	25	85	45	12	8	8	8	14	41	81	38	11	8	6	6	11	42	28	21	15	16	13	7	6	14
18	12	11	16	13	11	13	18	45	21	11	10	8	9	16	35	70	24	7	4	4	8	22	59	45	17	5	4	6	11	28	53	25	15	12	13	14	16	19	24	62	34	20	17	14	17	19	28	119	54	10	5	3	6	14	55	68	24	10	10	10	12	22	56	21	11	9	9	11	20	36	38	44	12	7	9	11	27	64	69	113	32	6	3	2	7	40	94	77	26	12	8	6	7	25	76	19	7	3	4	6	20	55	49	30	7	3	3	4	17	78	90	46	7	3	2	3	10	73	112	41	8	5	7	6	8	43	84
86	50	15	9	6	4	7	33	81	40	10	6	6	8	15	47	35	19	11	10	11	13	22	34	14	9	9	11	15	16	17	18	115	80	18	7	5	4	6	33	125	60	8	4	3	5	14	57	45	17	14	21	19	19	29	38	17	15	15	17	15	13	14	18	115	38	7	4	4	5	17	90	127	51	13	7	4	4	12	76	40	32	32	35	22	13	14	20	22	20	18	17	13	11	13	18	93	20	3	2	3	5	21	93	72	22	11	10	8	9	21	72	26	17	16	16	17	17	21	27	18	13	13	15	13	11	13	16
9	5	9	14	15	33	74	46	24	8	8	7	5	24	92	82	39	8	4	3	3	15	91	107	22	7	3	3	5	20	82	76	18	7	4	6	14	43	83	56	41	19	11	20	39	52	68	47	119	45	7	5	5	8	39	81	37	13	8	10	15	24	49	47	21	16	12	12	18	34	38	29	24	9	6	14	40	69	55	30	107	32	6	4	6	15	30	58	37	27	19	13	13	11	11	17	14	14	12	11	14	18	17	15	17	14	12	13	14	21	25	23	30	19	13	9	9	13	22	30	19	17	16	11	8	9	13	17
22	17	13	13	11	7	6	12	43	21	10	7	7	8	10	23	50	21	8	8	10	10	12	28	88	23	4	3	4	3	7	48	31	19	13	14	16	11	8	14	90	30	9	7	7	8	12	31	78	20	6	11	19	20	22	42	120	18	3	3	4	3	10	91	30	14	9	12	18	18	15	19	96	40	11	9	8	8	9	28	106	25	12	15	13	8	11	71	128	10	1	2	3	2	9	117	20	9	5	7	14	19	21	23	58	19	7	7	8	11	18	49	110	15	3	3	2	3	13	100	107	9	3	5	5	2	7	98
17	8	6	28	75	22	5	7	100	30	7	13	28	9	5	29	30	9	6	28	73	23	7	13	19	13	9	20	36	14	6	10	23	7	5	36	108	30	4	6	131	28	4	13	41	12	4	35	43	6	4	36	114	37	6	13	27	15	9	21	45	17	8	15	25	6	4	36	113	33	4	7	132	35	3	14	42	10	2	28	43	12	5	43	117	31	3	7	28	13	8	19	44	18	9	16	20	7	5	28	83	26	5	9	105	31	6	12	29	10	5	31	30	13	7	32	80	22	5	9	20	10	7	18	38	15	7	14
14	11	11	15	15	14	17	17	14	21	35	36	20	13	15	15	30	38	30	18	12	14	14	17	17	12	7	8	13	18	17	16	12	12	16	33	40	20	15	13	21	39	76	112	99	36	10	9	130	111	61	32	12	8	8	33	48	20	9	13	17	18	15	19	13	12	11	20	39	33	17	13	20	7	8	31	95	117	92	41	129	30	8	8	11	34	77	114	46	19	16	18	17	13	11	20	14	15	12	12	14	14	12	12	15	15	13	11	15	35	42	23	23	14	13	12	12	22	40	37	15	12	15	17	15	11	12	13
90	35	11	10	8	5	10	51	99	32	7	7	16	21	23	62	17	8	9	27	67	57	29	20	25	15	11	15	25	23	23	28	98	33	7	6	8	11	23	61	125	46	6	4	14	21	16	60	27	7	6	27	97	86	29	21	25	17	16	19	34	31	25	30	64	17	6	6	10	17	35	60	122	55	17	13	11	8	14	46	27	22	22	48	81	42	13	10	19	12	13	23	40	30	22	21	37	19	10	8	9	13	19	29	44	33	17	13	12	11	14	24	19	21	19	26	30	17	11	12	13	11	13	23	29	18	12	13
